course,subject,yearrange,semestergroup,semester,fileurl,filename,note
B.Com. Programme,Entrepreneurship & New Venture Planning,2024-2025,"II,IV,VI",4,https://drive.google.com/file/d/1hL8QM8_1v3wOYIRAV2zGnuyhh5Vf7mef/view,Entrepreneurship_and_New_Venture_Planning__Sem-IV__UPC-2412092401__QP-3652.pdf,UPC: 2412092401 | QP: 3652 | Type: DSC/Core
B.Com. Programme,Business Economics,2023-2024,"I,III,V",5,https://drive.google.com/file/d/1dS2I-uRu_3aa6WM9vH579VDdBO4HuJbo/view,Business_Economics__Sem-V__UPC-2412093502__QP-7506.pdf,UPC: 2412093502 | QP: 7506 | Type: DSC/Core
B.Com. Programme,Financial Markets and Institutions,2023-2024,"I,III,V",5,https://drive.google.com/file/d/1wuKv05I2G6mR2eXf8eTjAJ0WGTFNP9Hb/view,Financial_Markets_and_Institutions__Sem-V__UPC-2413090002__QP-7511.pdf,UPC: 2413090002 | QP: 7511 | Type: DSE
B.Com. Programme,Fundamentals of Financial Management,2023-2024,"I,III,V",5,https://drive.google.com/file/d/1AthUpxSeHiKVlDBzIil1Re8xRq23UsZT/view,Fundamentals_of_Financial_Management__Sem-V__UPC-52417505__QP-2516.pdf,UPC: 52417505 | QP: 2516
B.Com. Programme,Income Tax Law and Practice,2023-2024,"I,III,V",5,https://drive.google.com/file/d/1D8e0-1okx1xEno7dnqWp25FTCd51H-Vb/view,Income_Tax_Law_and_Practice__Sem-V__UPC-2412093501__QP-7501.pdf,UPC: 2412093501 | QP: 7501 | Type: DSC/Core
B.Com. Programme,Organisational Behaviour,2023-2024,"I,III,V",5,https://drive.google.com/file/d/1kEEPfJrPaGSlpoU9ytzWiWWL3l3K4uso/view,Organisational_Behaviour__Sem-V__UPC-2413090001__QP-7510.pdf,UPC: 2413090001 | QP: 7510 | Type: DSE
B.Com. Programme,Business Research Methodology,2024-2025,"II,IV,VI",6,https://drive.google.com/file/d/1IQhxgFvwpzKeJZ3XwozkvC69J_g7xiZD/view,Business_Research_Methodology__Sem-VI__UPC-2413080026__QP-3657.pdf,UPC: 2413080026 | QP: 3657 | Type: DSE
B.Com. Programme,Corporate Governance,2024-2025,"II,IV,VI",6,https://drive.google.com/file/d/1fXCFYUr7PIvIaNPNk7p71zXHJIgw0ZjJ/view,Corporate_Governance__Sem-VI__UPC-2412093602__QP-3653.pdf,UPC: 2412093602 | QP: 3653 | Type: DSC/Core
B.Com. Programme,Business and Macroeconomic Policy,2023-2024,"I,III,V,VII",7,https://drive.google.com/file/d/1MylhJfPwGdQw2khHAW6lvpf2uBHuQb2h/view,Business_and_Macroeconomic_Policy__Sem-VII__UPC-2412094701__QP-7504.pdf,UPC: 2412094701 | QP: 7504 | Type: DSC/Core
B.Com. Programme,Consumer Affairs and Sovereignty,2023-2024,"I,III,V,VII",7,https://drive.google.com/file/d/10BwVLRbV2SgIk33kUEve4dpejMBe7USL/view,Consumer_Affairs_and_Sovereignty__Sem-VII__UPC-2413090022__QP-10565.pdf,UPC: 2413090022 | QP: 10565 | Type: DSE
B.Com. Programme,International Finance,2023-2024,"I,III,V,VII",7,https://drive.google.com/file/d/1r9aH60ICFFURDCqbBkLoCLlz1d4o5FwP/view,International_Finance__Sem-VII__UPC-2413090017__QP-10560.pdf,UPC: 2413090017 | QP: 10560
B.Com. Programme,Retail Management,2023-2024,"II,IV,VI,VIII",8,https://drive.google.com/file/d/1AjrpkKnnVfoT60iFNdHXkD_iywu9ome4/view,Retail_Management__Sem-VIII__UPC-2413090019__QP-10562.pdf,UPC: 2413090019 | QP: 10562
