course,subject,yearRange,semesterGroup,semester,fileUrl,fileName,note
B.A (Prog.) History as Major,Archives and Museums,2024,Semester 4,4,https://zhdce.ac.in/Previousyear_paper/2024/SEC/4/2093SEC_B.A.%20(Prog)_History_IVth%20Sem_Archives%20and%20Museums_1946_62313466_0001.pdf,SEC_B.A. (Prog)_History_IVth Sem_Archives and Museums_1946_62313466_0001,Prog | approx (auto-detected from title)
No single-subject syllabus match (cross-programme elective paper),Translation Studies,2024,Semester 4,4,https://zhdce.ac.in/Previousyear_paper/2024/SEC/4/2071SEC_B.A.%20(Prog)_Sanskrit_IVth%20Sem_Basic%20Elements%20of%20Ayurveda_1975_62136949_0001.pdf,SEC_B.A. (Prog)_IVth Sem_Translation Studies_1921_12033904_0001,Not specified | not-applicable
B.A. (Prog.) Sanskrit (MAJOR),Basic Elements of Ayurveda,2024,Semester 4,4,https://zhdce.ac.in/Previousyear_paper/2024/SEC/4/2117SEC_B.A.%20(Prog)_Sanskrit_IVth%20Sem_Basic%20Elements%20of%20Ayurveda_1975_62136949_0001.pdf,SEC_B.A. (Prog)_Sanskrit_IVth Sem_Basic Elements of Ayurveda_1975_62136949_0001,Prog | approx (auto-detected from title)
No single-subject syllabus match (cross-programme elective paper),Fundamentals of Indian Manuscriptology,2024,Semester 4,4,https://zhdce.ac.in/Previousyear_paper/2024/SEC/4/2073SEC_Common%20Program%20Group_IVth%20Sem_Fundamentals%20of%20Indian%20Manuscriptology_4801_2136000007_0001.pdf,SEC_Common Program Group_IVth Sem_Fundamentals of Indian Manuscriptology_4801_2136000007_0001,Not specified | not-applicable
No single-subject syllabus match (cross-programme elective paper),Personal Financial Planning,2024,Semester 4,4,https://zhdce.ac.in/Previousyear_paper/2024/SEC/4/2085SEC_Common%20Program%20Group_IVth%20Sem_Personal%20Financial%20Planning_4690_2416000004_0001.pdf,SEC_Common Program Group_IVth Sem_Personal Financial Planning_4690_2416000004_0001,Not specified | not-applicable
University-wide Skill Enhancement Course Pool / University-wide Skill Enhancement Course Pool,Personality Development and Communication,2024,Semester 4,4,https://zhdce.ac.in/Previousyear_paper/2024/SEC/4/2104SEC_Common%20Program%20Group_IVth%20Sem_Personality%20Development%20and%20Communication%20(Regular)_4691_2036000005_0001.pdf,SEC_Common Program Group_IVth Sem_Personality Development and Communication (Regular)_4691_2036000005_0001,ambiguous (auto-detected from title)
No single-subject syllabus match (cross-programme elective paper),Political Leadership and Communication,2024,Semester 4,4,https://zhdce.ac.in/Previousyear_paper/2024/SEC/4/2116SEC_Common%20Program%20Group_IVth%20Sem_Political%20Leadership%20and%20Communication_4754_3206001002_0001.pdf,SEC_Common Program Group_IVth Sem_Political Leadership and Communication_4754_3206001002_0001,Not specified | not-applicable
University-wide Skill Enhancement Course Pool / University-wide Skill Enhancement Course Pool,Reading the Archive,2024,Semester 4,4,https://zhdce.ac.in/Previousyear_paper/2024/SEC/4/2072SEC_Common%20Program%20Group_IVth%20Sem_Reading%20the%20Archive_4710_2316000002_0001.pdf,SEC_Common Program Group_IVth Sem_Reading the Archive_4710_2316000002_0001,ambiguous (auto-detected from title)
B.Com (P),B.A & B.com (Prog) Indirect Taxes-Custom Act and Procedure,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.A.%20Program%20(Economics)/6/2083AEC_Common%20Program%20Group_Bengali_IVth%20Sem_Intermediate%20Bengali_4575_2081002032_0001.pdf,B.A & B.com (Prog)_Commerce_VIth Sem_Indirect Taxes-Custom Act and Procedure_2188_62417602_0001,Prog | approx (auto-detected from title)
B.Com (P),B.A & B.com (Prog) Indirect Taxes-Custom Act and Procedure,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.A.%20Program%20(Mathematics)/6/2063B.A%20&%20B.com%20(Prog)_Mathematics_VIth%20Sem_General%20Mathematics-II_2035_62355604_0001.pdf,B.A & B.com (Prog)_Commerce_VIth Sem_Indirect Taxes-Custom Act and Procedure_2188_62417602_0001,Prog | approx (auto-detected from title)
B.Com (P),Commerce (HRM) Leadership and Motivation,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.A.%20Program%20(Economics)/6/2048B.A%20(Prog)_Commerce%20(HRM)_VIth%20Sem_Leadership%20and%20Motivation_2149_62417603_0001.pdf,B.A (Prog)_Commerce (HRM)_VIth Sem_Leadership and Motivation_2149_62417603_0001,Prog | approx (auto-detected from title)
B.Com (P),Commerce (HRM) Leadership and Motivation,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.A.%20Program%20(Economics)/6/2064B.A%20(Prog)_Commerce%20(HRM)_VIth%20Sem_Leadership%20and%20Motivation_2236_62417603_0001.pdf,B.A (Prog)_Commerce (HRM)_VIth Sem_Leadership and Motivation_2236_62417603_0001,Prog | approx (auto-detected from title)
B. A. (Prog) English,Comic Books and Graphic Novels,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.A.%20Program%20(English)/6/,B.A (Prog)_English_VIth Sem_Comic Books and Graphic Novels_2013_UPC 62035604_0001,Prog | approx (auto-detected from title)
B.A. (Prog) with Hindi,Sahityachintan,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.A.%20Program%20(Hindi)/6/2100B.A%20(Prog)_Hindi_VIth%20Sem_Sahityachintan_2138_62057632_0001.pdf,B.A (Prog)_Hindi_VIth Sem_Sahityachintan_2138_62057632_0001,Prog | approx (auto-detected from title)
B.A. (Prog) with Hindi,Vishes Adhyayan Ek Pramukh Sahityakar Premchand,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.A.%20Program%20(Hindi)/6/2053B.A%20(Prog)_Hindi_VIth%20Sem_Vishes%20Adhyayan%20Ek%20Pramukh%20Sahityakar%20Premchand_2142_62057638_0001.pdf,B.A (Prog)_Hindi_VIth Sem_Vishes Adhyayan Ek Pramukh Sahityakar Premchand_2142_62057638_0001,Prog | approx (auto-detected from title)
B.A. (Prog) with Hindi,Vishes Adhyayan Ek Pramukh Sahityakar Premchand,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.A.%20Program%20(Hindi)/6/2082B.A%20(Prog)_Hindi_VIth%20Sem_Vishes%20Adhyayan%20Ek%20Pramukh%20Sahityakar%20Premchand_2229_62057638_0001.pdf,B.A (Prog)_Hindi_VIth Sem_Vishes Adhyayan Ek Pramukh Sahityakar Premchand_2229_62057638_0001,Prog | approx (auto-detected from title)
B.A. (Prog) Mathematics as Major,Differential Equations,2024,Semester 6,6,https://zhdce.ac.in/Previousyear_paper/2024/B.A.%20Program%20(Mathematics)/6/,B.A (Prog)_Mathematics_VIth Sem_Differential Equations_2153_62357604_0001,Prog | approx (auto-detected from title)
