course,subject,yearRange,semesterGroup,semester,fileUrl,fileName,note
BA(H) ENGLISH,18TH CENTURY LITERATURE,2025,Not Specified,,https://drive.google.com/file/d/1omylMplc8i7CBR-dmP6W-MhafwEB5E7a/view?usp=sharing,,Paper Code 2032101203 | Syllabus: https://drive.google.com/file/d/1Qn4Y93SIIMuoI_dCUK8EOj_ZGk2AtwU0/view?usp=drive_link
BA(H) ENGLISH,AMERICAN LITERATURE,2025,Not Specified,,https://drive.google.com/file/d/1cZO6mIAHQmBM22rkP0UE9DIC95Abk_Eo/view?usp=sharing,,Paper Code 2032102401 | Syllabus: https://drive.google.com/file/d/1roGAaGOOWxRy2NzlbDDzLQohACKzxKXZ/view?usp=drive_link
BA(H) ENGLISH,DALIT WRITINGS,2025,Not Specified,,https://drive.google.com/file/d/1rehPAnJA_u1dreBC4Vesk-jdR8TVB0Ou/view?usp=sharing,,Paper Code 2032103503 | Syllabus: https://drive.google.com/file/d/1gEQ8BzqpKzrUaxqBeV9X_4TMzehduryr/view?usp=drive_link
BA(H) ENGLISH,EUROPEAN CLASSICAL LITERATURE,2025,Not Specified,,https://drive.google.com/file/d/196meAfmnpLXkJaIAeBtgvU2YDLcTkWJJ/view?usp=drive_link,,Paper Code 2032101102 | Syllabus: https://drive.google.com/file/d/11kDMAZGRiZAcS3QsDnJ_LbYE6tQfUPGk/view?usp=drive_link
BA(H) ENGLISH,INDIAN CLASSICAL LITERATURE,2025,Not Specified,,https://drive.google.com/file/d/1AynPG7KRYxiobI_nM7E8WBHvdXQeca0W/view?usp=drive_link,,Paper Code 2032101103 | Syllabus: https://drive.google.com/file/d/1D9yRrjVPl18kqEcSvrbtaCmha3UrLnTX/view?usp=drive_link
BA(H) ENGLISH,INDIAN WRITING IN ENGLISH,2025,Not Specified,,https://drive.google.com/file/d/1qv-7TmaDzx-tIyutDVXVX7Djyd1DZUjh/view?usp=sharing,,Paper Code 2032102402 | Syllabus: https://drive.google.com/file/d/1GkNIS51usO-Fdz5Muc3SH0BsGvZz-ChS/view?usp=drive_link
BA(H) ENGLISH,INDIAN WRITING IN ENGLISH TRANSLATION,2025,Not Specified,,https://drive.google.com/file/d/1H8UkoIL-T12P-thyQKsk6ktysAZ_QQGE/view?usp=drive_link,,Paper Code 2032102403 | Syllabus: https://drive.google.com/file/d/1-nq6Gwya2fYT3m38-qvEN6YhaxHSDHPp/view?usp=drive_link
BA(H) ENGLISH,INTRODUCTION TO LITERARY STUDIES,2025,Not Specified,,https://drive.google.com/file/d/1jKhtPhmk5TTuuQrrPAZ2Qwd2HrTPZi_f/view?usp=drive_link,,Paper Code 2032101101 | Syllabus: https://drive.google.com/file/d/1jgJ_CHZqork3s9u63cSlBFf6uAc_MBzo/view?usp=drive_link
BA(H) ENGLISH,LITERARY CRITICISM,2025,Not Specified,,https://drive.google.com/file/d/1HqfOQom4xuNtgUVjTG7CctlQ77wAe4l8/view?usp=sharing,,Paper Code 2032102303 | Syllabus: https://drive.google.com/file/d/1zfx4TkuVTDcwUwAtv-6xLwNcGm7anitt/view?usp=drive_link
BA(H) ENGLISH,LITERATURE AND HUMAN RIGHTS,2025,Not Specified,,https://drive.google.com/file/d/1o6ohxGZRz1Jb3FFjNfDiXCyJe7hgfzG9/view?usp=sharing,,Paper Code 2033100016 | Syllabus: https://drive.google.com/file/d/1arzKlQpoKYAYXqwFWvplc4tAgB-6cQQc/view?usp=drive_link
