course,subject,yearRange,semesterGroup,semester,fileUrl,fileName,note
B. Sc. (Hons) Biochemistry,In-Silico Tools in Proteomics and Genomics,2024,Nov-Dec,,https://drive.google.com/uc?export=download&id=1qh3FrCPK8m5UDnzvScLofhigf1HAsc1d,,[S] | UPC 2493010008 | Exact (UPC/syllabus match)
B. Sc. (Hons) Biochemistry,Membrane Biology,2024,Nov-Dec,,https://drive.google.com/uc?export=download&id=1sgos5s95NER6MWAFBBDip2CFj-ydQFH8,,[S] | UPC 2492012303 | Exact (UPC/syllabus match)
B. Sc. (Hons) Biochemistry,Metabolism of Amino Acids and Nucleotides,2025,May-June,,https://drive.google.com/uc?export=download&id=1Cpu2vozrLlvqxUhdlIWJ3Q3lGiNxF783,,[S] | UPC 2492012401 | Exact (UPC/syllabus match)
B. Sc. (Hons) Biochemistry,Metabolism of Carbohydrates,2023,May-June,,https://drive.google.com/uc?export=download&id=1m3Zt8qXILeZhUecc5xdi0YW-a5PHpgaa,,[S] | UPC 2492011202 | Exact (UPC/syllabus match)
B. Sc. (Hons) Biochemistry,Metabolism of Lipids,2023,Nov-Dec,,https://drive.google.com/uc?export=download&id=1xHy_o7rpkfXDFX9_vIYPNhCJt53w9pZ9,,[S] | UPC 2492012301 | Exact (UPC/syllabus match)
B. Sc. (Hons) Biochemistry,Metabolism of Lipids,2024,Nov-Dec,,https://drive.google.com/uc?export=download&id=1uEQTDuUrbyXBjvB4iFXuWHPvYGa1f8p9,,[S] | UPC 2492012301 | Exact (UPC/syllabus match)
B. Sc. (Hons) Biochemistry,Metabolism of Carbohydrates,2024,May-June,,https://drive.google.com/uc?export=download&id=1YiaIKbzKYNeTJlomuXqE6WoPVprh8jNS,,[S] | UPC 2492011202 | Exact (UPC/syllabus match)
B. Sc. (Hons) Biochemistry,Molecules of Life,2023,Nov-Dec,,https://drive.google.com/uc?export=download&id=1Cuhk9ishfDRqX_nLcMkAsim5qBQz-_sz,,[S] | UPC 2494001001 | Exact (UPC/syllabus match)
B. Sc. (Hons) Biochemistry,Molecules of Life,2022,Nov-Dec,,https://drive.google.com/uc?export=download&id=1FCiNgVrUZKEVzoPXY6SYAb6PYCOGWpd_,,[S] | UPC 2494001001 | Exact (UPC/syllabus match)
B. Sc. (Hons) Biochemistry,Nutrition Biochemistry,2025,May-June,,https://drive.google.com/uc?export=download&id=1QXxmWmZDv1hDON6IDxKzNLenL0BcBpTa,,[S] | UPC 2493012005 | Exact (UPC/syllabus match)
B. Sc. (Hons) Biochemistry,Proteins,2024,Nov-Dec,,https://drive.google.com/uc?export=download&id=1oQ0Z2kYbYs_3NWts2mqdQAMmryjaOVle,,[S] | UPC 2492011102 | Exact (UPC/syllabus match)
