course,subject,yearrange,semestergroup,semester,fileurl,filename,note
B.Com. Programme,Fundamentals of Financial Management,2025,Semester 5,5,https://drive.google.com/file/d/1bKQ-o2a5WgZHe0wavml9E_2UL8GFUt02/view,b-com-programme_collection-2025_semv_dse_fundamentals-of-financial-management_upc52417505_qp2516_p059-066.pdf,UPC: 52417505 | QP: 2516 | Type: DSE | Printed: B.Com. (P)
B.Com. Programme,Income Tax Law and Practice,2025,Semester 5,5,https://drive.google.com/file/d/1Sqp401wf-WpijY8UDh_vmbZV-5iqxQZu/view,b-com-programme_collection-2025_semv_dsc_income-tax-law-and-practice_upc2412093501_qp7501_p079-102.pdf,UPC: 2412093501 | QP: 7501 | Type: DSC | Printed: B.Com. UGCF - DSC
B.Com. Programme,Organisational Behaviour,2025,Semester 5,5,https://drive.google.com/file/d/1534Nkmpld36YL9EjAgX4pcYeTtfcBRmm/view,b-com-programme_collection-2025_semv_dse_organisational-behaviour_upc2413090001_qp7510_p111-117.pdf,UPC: 2413090001 | QP: 7510 | Type: DSE | Printed: B.Com. (P) NEP | Source contains 7 PDF pages although cover states 8 printed pages. | Incomplete in source (7/8 pages)
B.Com. Programme,Business Research Methodology,2025,Semester 6,6,https://drive.google.com/file/d/10NDkX8VO7MmP8wTeEe7Wx2nMVjc9XYGA/view,b-com-programme_collection-2025_semvi_dse_business-research-methodology_upc2413080026_qp3657_p101-104.pdf,UPC: 2413080026 | QP: 3657 | Type: DSE | Printed: B.Com. (P)
B.Com. Programme,Corporate Governance,2025,Semester 6,6,https://drive.google.com/file/d/1mrtNF2tu016Z5WmCqMm28IBKRnqbRjO3/view,b-com-programme_collection-2025_semvi_dsc_corporate-governance_upc2412093602_qp3653_p093-100.pdf,UPC: 2412093602 | QP: 3653 | Type: DSC | Printed: B.Com. (P.) UGCF
B.Com. Programme,Business and Macroeconomic Policy,2025,Semester 7,7,https://drive.google.com/file/d/1FbZ_tm1zWr4vJX_zmRz2lfudqUhhubzX/view,b-com-programme_collection-2025_semvii_dsc_business-and-macroeconomic-policy_upc2412094701_qp7504_p122-129.pdf,UPC: 2412094701 | QP: 7504 | Type: DSC | Printed: B.Com. (P) UGCF
B.Com. Programme,Consumer Affairs and Sovereignty,2025,Semester 7,7,https://drive.google.com/file/d/1GJNGa9bTpP2ulioIDGiHYs5KlCiuXxVF/view,b-com-programme_collection-2025_semvii_dse_consumer-affairs-and-sovereignty_upc2413090022_qp10565_p140-141.pdf,UPC: 2413090022 | QP: 10565 | Type: DSE | Printed: B.COM (P) CBCS
B.Com. Programme,International Finance,2025,Semester 7,7,https://drive.google.com/file/d/1YLHVC-OeCKyQWfdBe9C8JLAVfvi82LYd/view,b-com-programme_collection-2025_semvii_dse_international-finance_upc2413090017_qp10560_p130-137.pdf,UPC: 2413090017 | QP: 10560 | Type: DSE | Printed: B.Com.
B.Com. Programme,Retail Management,2025,Semester 7,7,https://drive.google.com/file/d/1H4bb4wPYMnIywGOZCjYjlBbZ8K5JQb-w/view,b-com-programme_collection-2025_semvii_dse_retail-management_upc2413090019_qp10562_p138-139.pdf,UPC: 2413090019 | QP: 10562 | Type: DSE | Printed: B.Com. (P) UGCF
Bachelor of Management Studies,Finance for Non-Finance Executives,2022-2023,Semester 2,2,https://drive.google.com/file/d/1SCTFgY8Ns2Egmh9Ao8rFl6_6uOFyPz7o/view,03_2022_Sem-II_GE_Finance_for_Non-Finance_Executives_UPC-22415204_QP-1079.pdf,UPC: 22415204 | QP: 1079 | Type: GE
